asv_id	Kingdom	Phylum	Class	Order	Family	Genus
ASV_54273	k__Archaea	p__Halobacterota	c__Halobacteria	o__Halobacterales	f__Halomicrobiaceae	g__Natronomonas
ASV_54415	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_54445	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_54476	k__Archaea	p__Halobacterota	c__Halobacteria	o__Halobacterales	f__Haloadaptaceae	g__Haladaptatus
ASV_54508	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus_Nitrososphaera
ASV_54782	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_54851	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Marine_Benthic_Group_D_and_DHVEG-1	f__NA	g__NA
ASV_54976	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_55333	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_55414	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_55512	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_55514	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_56621	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus_Nitrososphaera
ASV_56832	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_57051	k__Archaea	p__Thermoplasmatota	c__Thermoplasmatota_cl	o__Thermoplasmatota_or	f__Thermoplasmatota_fa	g__NA
ASV_57094	k__Archaea	p__Halobacterota	c__Halobacteria	o__Halobacterales	f__Halomicrobiaceae	g__Natronomonas
ASV_57462	k__Archaea	p__Asgardarchaeota	c__Lokiarchaeia	o__NA	f__NA	g__NA
ASV_57869	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_58010	k__Archaea	p__Halobacterota	c__Halobacteria	o__Halobacterales	f__Halobacteriaceae	g__Halobacterium
ASV_58049	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_58247	k__Archaea	p__Thermoplasmatota	c__Thermoplasmatota_cl	o__Thermoplasmatota_or	f__Thermoplasmatota_fa	g__NA
ASV_59047	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_59060	k__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__NA	g__NA
ASV_59079	k__Archaea	p__Crenarchaeota	c__Bathyarchaeia	o__NA	f__NA	g__NA
